"","%IncMSE","IncNodePurity"
"X342",-0.0179956405014307,731.543188122077
"X343",0.00035911828826814,35.4378103238123
"X344",0.031753390282877,898.071337490374
"X345",-0.000116922590134662,2065.22455217818
"X346",-0.000550043786100898,199.307929287984
"X347",1.26517062843695e-05,2.56599535071792
"X348",0.151287020588977,3247.89959258533
"X349",0.0334158337265672,1849.93399482945
"X350",-1.46296087852738e-05,13.3286818460269
"X351",0.00043297872965428,158.828908905221
"X352",0,0.0443685229573984
"X353",0.00561349351549321,110.602624458202
"X354",-0.00600795433593036,223.068730058975
"X355",0.00271848871810529,368.718438596945
"X356",0.0115002653932999,367.916672828003
"X357",0.0067365444512142,1164.35495343353
"X358",0.000356886630723971,323.559326570159
"X359",0.0423524618648905,1277.93773568319
"X360",-0.0118937203860679,732.126700299435
"X361",-0.0254525091134,1092.24572062553
"X362",0.0169096868497709,966.565891547701
"X363",0,3.65187713855763
"X364",0.00178767378250077,104.727180568991
"X365",0.00562873711670099,546.222160446039
"X366",-0.0136680744664608,493.934980403757
"X367",0,0.787382045251897
"X368",-0.000680274689721826,107.062950756942
"X369",-0.000687013385467924,610.175024324455
"X370",0,15.9897183392605
"X371",0.0264828642649664,1036.34600968003
"X372",0.0272988045118637,489.920079901769
"X373",4.66758998142485e-05,8.68192822406474
"X374",-0.00178822516249026,64.6798870411274
"X375",-0.000140407977794695,59.353130772656
"X376",4.30392617942455e-05,77.1914820797781
"X377",-0.00339048101544786,459.596951950273
"X378",-0.00408867826729533,771.558146183515
"X379",0.00276085678731895,177.352098841203
"X380",0.000364009150793411,67.2477537848923
"X382",2.48189924833078e-05,9.33035262284399
"X383",2.81822809795845e-05,3.81858128420048
"X385",0.000199729444564009,14.9753734951706
"X386",0.000253842198519545,21.0726107305051
"X387",0,0.241525341792799
"X388",-5.7329906530316e-06,6.65044200545186
"X389",0.070707442407222,1912.34493308085
"X390",0,1.1081932503103
"X391",0,1.06419057092534
"X394",-0.00310580731343455,255.541987450811
"X395",0.0091733847533016,117.712460727263
"X396",0.0593458609382878,1215.90889030123
"X397",0.0671750634021242,1183.81974971834
"X398",-0.0105819647788847,1748.82957973289
"X401",0.0256735827929046,1930.19387053331
"X402",0.00207110414398891,91.7170860767996
"X403",0.253753684782594,2924.85618281663
"X404",-0.0162831287904467,477.496349080956
"X405",-0.00345644471531326,163.155519103885
"X410",0.165306933489426,1952.49831428219
"X411",0.0132583596601558,523.554839844537
"X412",0.0240379262235403,1058.5956219166
"X413",0.027898383591933,371.182335699903
"X414",0.0715391331329001,1600.26799833074
"X415",0.0104559174816755,623.593693824771
"X416",0.0718215431379468,2765.43845497479
"X417",-0.00161542911338863,100.163334671588
"X420",-0.00329579484394435,139.304698615017
"X421",0.0941529675604759,2581.74519214086
"X422",9.36172522123535e-09,4.00746729555992
"X423",0.0346262900765208,1721.45227495315
"X424",0.0901199548767355,1624.63013794221
"X425",0.0523987269534961,1438.68161835226
"X426",-0.0080022243234267,544.416362928049
"X427",0.365307201118195,4331.03581712029
"X428",0.455423781867078,4859.88233781003
"X429",0.00975908804612537,308.321576130592
"X430",0.0990039506110683,1185.54597330916
"X431",0.0938216302431261,1325.44388378971
"X432",0.0144588261809258,503.31268028017
"X433",0.00641485354334416,503.239691046636
"X434",0.0439014391417589,1570.89719689662
"X435",0.00455151979947916,459.209349562898
"X436",0.000407375104356663,49.0146887118415
"X437",-0.0180092106565709,495.179222177625
"X438",0.0918313287394501,1706.3301018624
"X440",0.0644497011309988,1365.07788284539
"X441",0.0109434594453929,610.201742718239
"X442",0.00147451145476473,702.01968267551
"X443",-0.008113957997925,1063.68130981603
"X444",0.0388855599238462,1607.87505435958
"X445",0.000159893617570901,15.0813507271705
"X446",-0.000363084805215323,476.292010187992
"X447",-0.00375465896076108,432.981054036131
"X448",0.000109686973116368,11.9561953310454
"X449",0.0017748652592578,258.966034691503
"X451",0.016070091346709,377.178588505561
"X452",0.00924601887991903,376.140853761723
"X453",0.0605817103098259,2922.14718743173
"X454",-0.000361716403246649,9.5679201610347
"X455",0.00137267091826122,527.119824009688
"X456",0.0270360830042287,652.831681272526
"X457",-0.0161304262125923,1007.00067193362
"X458",0.086651142606397,2749.81005267084
"X459",0.0110537132112291,1352.68493423011
"X461",0.0116634320594049,829.440548538673
"X462",-0.000285363614192006,40.3228217694423
"X463",0,2.2850944965395
"X464",-0.0126028298726027,683.679749050183
"X465",0.00150444665312974,288.759104313184
"X466",0.0674756609835955,1461.41667648314
"X471",-0.000575458289227618,97.1729983876196
"X472",1.05526057241299e-05,2.86616275936939
"X473",0.0517798845162421,1534.96574633273
"X475",0.000410994985355939,29.0852363766735
"X477",-0.00114644669447418,32.8230845411866
"X478",0.0618749727940174,1499.45364397287
"X480",0.00871796910814484,744.615073207159
"X481",0.0353758661702089,546.909570414286
"X482",3.74144813659203,30630.7807576179
"X483",0.0565950443173525,1669.81882495266
"X484",0.0769168935086623,2474.01134173969
"X485",-0.00352110717812473,170.37501484323
"X486",0.496568239954959,6408.58352747183
"X487",0.033942723572733,705.559436879035
"X488",0.0055778770015922,114.618076433298
"X490",-0.00319368695624245,347.766915954991
"X491",0.086245043024948,1278.15123271988
"X492",0.00650277578933812,357.776149088671
"X493",0.0164550557193839,1588.14597267345
"X494",0.00272113909177303,582.522430933945
"X495",-5.15917929981634e-05,22.2128601180946
"X496",0.116473567329513,1872.53986860437
"X500",0,1.9543924090604
"X501",-0.000785112819365106,118.15337074179
"X502",0,1.98776823945865
"X506",-0.000810433115203569,53.9098222620657
"X507",0.51612057941344,6475.48472782471
"X508",-0.00240231032033348,92.5640755533646
"X510",0.0612514770156059,1381.73152998517
"X511",0.562160162095386,9289.49220679249
"X512",0.193869029260571,2570.20043638763
"X513",0.0283619794480644,465.275825560505
"X514",0.0103624709255634,2591.69670322645
"X515",0.01098638697089,1088.6477700653
"X516",0.0629918162175612,1075.09415566867
"X517",0.00325184838839341,331.803088457866
"X518",4.55088992689466,30283.8116935495
"X519",0.629035365071928,7848.58674669961
"X520",0,0.0538660958266316
"X521",0.00249663928592564,134.209315516625
"X522",-0.0447958897245508,1634.38747612869
"X523",2.71278512670182e-05,104.233468745974
"X524",0.000198017630681859,21.001084757958
"X525",0.00511153406441076,141.348834071933
"X526",-9.41578603703939e-05,24.7418124602893
"X527",0.00131397762162653,49.8297732836618
"X528",-0.000662407027914095,298.721940925111
"X529",0.00023772967209414,34.6684381218693
"X530",0.0140556993089791,1389.64776768003
"X531",0.00704668360927421,792.614649526057
"X532",0.00633902540261643,560.456920375474
"X533",-0.00498320854178245,127.519985500816
"X534",-0.000146223827558246,10.4632090890199
"X535",-0.0744703011064241,1656.36358191592
"X536",0.0626011295955273,2592.16125531758
"X537",-0.013487743073141,1248.57391802321
"X538",0,0.669134309571034
"X540",-0.00772261233961779,330.364799398437
"X541",0,0.586998064786346
"X542",-7.07236319075257e-05,243.215953075484
"X543",0,9.75117825945106
"X550",0.00426616396886374,448.682087398613
"X551",0.00124580426893662,73.5093941780438
"X552",0.00636756297476833,918.731289010732
"X553",0.0150972929599339,1117.20404894827
"X555",-0.000348449997232122,188.115188432799
"X556",-0.0175273564302321,321.620147859099
"X557",-0.0395957481238271,3289.1675306151
"X558",0.00483204972527969,528.870867154828
"X560",0.0565825630423665,2716.23461605834
"X562",-0.122322183074162,1555.95297582729
"X564",-0.0164405988914885,962.112268326757
"X565",1.81453484680202e-05,12.8523807232823
"X566",0.00011816311315443,226.150258673757
"X567",0.252869891680669,5198.32635502486
"X568",-0.0386536334154549,1254.48548900858
"X569",0.0626766066756038,3415.85904785094
"X570",0.135922226388672,2396.74060454507
"X571",0.0211259913288394,1091.06960481868
"X572",0.0583789220453611,1474.28158418875
"X573",-0.0101304541361392,896.008022864346
"X574",-0.00341538399454545,1818.86932214583
"X575",0.0597390871441743,1512.91757201595
"X576",0.0218151267363473,1277.10960317501
"X577",0.180120144246107,4265.41122909226
"X578",0.0902908866532041,2798.11074292197
"X579",-7.44966393908314e-06,287.949253218695
"X580",0.00124873944816602,111.236152116425
"X581",-4.06196426715493e-05,35.4736125993236
"X582",0.00011993809261132,68.5678755810524
"X583",0.0351085992941888,1213.82217510255
"X584",0.74004763555226,8731.7148616081
"X585",0.359907316813619,2316.20801949729
"X586",0.000100620143341073,9.70124308752565
"X587",0.00044479647997607,31.6029654217113
"X588",-0.00844266507095007,698.070179021003
"X590",-0.00276284546058959,385.682209869667
"X591",0.000597313622099298,192.361115768767
"X592",0.00215265995792962,260.593048254658
"X593",-0.00129616559266995,1476.61820003667
"X594",-0.00201441733922167,134.46764896772
"X595",0.0012296782357727,104.393573738801
"X596",-0.0370571497988988,548.119181259194
"X597",6.2095794390944e-05,9.21845242125834
"X598",0.000692906913458156,73.8568643776983
"X599",0.336606844388869,7862.80074271139
"X600",0.00219744410268947,610.08639940755
"X601",4.28185284548398e-05,6.95096259953018
"X602",0,5.05305883564868
"X603",-0.000492382947570275,59.1685893176087
"X604",0.000796342233968682,41.470436889304
"X605",-0.00215230875461779,301.17713320775
"X607",0.00746455424541773,578.107812570943
"X608",0.00620309791674701,193.566870392879
"X611",0.00323476238621747,27.5660504493462
"X614",-0.00939673235841567,233.453434862755
"X615",0,0.883999985242495
"X616",0.00748742890685092,238.051257728489
"X617",0,3.21051661964037
"X618",-0.000597742752566858,102.724215374382
"X619",-9.97399683652232e-05,13.3100207460222
"X620",0.00385869939385652,285.65470425606
"X621",2.88956104167694e-05,6.7814449994141
"X622",0,0.840928297312444
"X623",0.0114977469854372,343.796988523276
"X624",0,0.307701412925926
"X625",-5.53555983889252e-05,13.1115109436308
"X626",0.000320833473192422,23.174745269978
"X627",0.0174005544235516,1549.14402868974
"X628",0,0.515609834348362
"X629",0,1.47181997386509
"X632",0,0.14284149221873
"X633",0,0.0210384769091722
"X634",0,0.227737818123135
"X642",-7.88584668857573e-07,1.49107573723868
"X644",4.01265072944514e-05,1.89429223311619
"X646",2.38813044461375e-07,0.137430336033002
"X647",-1.30436337300018e-05,0.527134331081365
"X648",-7.53137056294456e-05,9.94294322655287
"X649",4.51300525980709e-06,0.396795464084718
"X652",0,1.57552930832226
"X654",0,1.24928065265347
"X666",0.000124447464287549,11.0125531321801
"X670",0,1.13420554978236
"X674",0.000530004473182944,74.3450990930609
"X680",-0.0128830048827404,224.022670476095
"X681",0.0019586648358888,260.444692619263
"X682",0.0112900535843458,2860.29296062612
"X683",0,0.532030299678481
"X684",1.32993424720183e-05,0.418131095025282
"X685",4.60042483655479e-05,15.3280845359436
"X686",0.00777807419337065,221.379016956434
"X690",-0.000649946384949207,47.1162765743391
"X692",-0.0011555498466318,51.9654080861063
"X693",0.0164440872364301,1384.38946300428
"X694",-1.41889600687319e-05,5.87578579042337
"X695",0.00122749965618724,218.073360646093
"X696",-0.0118670823905213,252.543128079394
"X697",0,1.00479748990886
"X698",-0.0052209483748116,1176.01880395719
